symbol,company_name,sector,market_cap,market_cap_class,current_price,beta,volatility_30d,volatility_90d,open,high,low,close,volume,return_1m,return_3m,return_6m,return_1y,return_3y,dividend_yield,risk_bucket,last_updated,ticker,ticker_yf
^NSEI,NIFTY 50,Others,0,Unknown,0.0,1.0,7.63,8.1,25902.4,25929.15,25770.35,25818.55,0,-0.9,1.93,4.06,4.24,39.65,0.0,Low,2025-12-17 18:15:44,NIFTY 50,^NSEI
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,1625873055744,Large Cap,864.2,0.495,22.87,26.13,856.0,875.45,855.0,864.2,11620372,5.64,38.69,33.91,39.83,223.31,173.0,Low,2025-12-17 18:15:45,SHRIRAMFIN,SHRIRAMFIN.NS
SBIN.NS,State Bank of India,Banking,9007697756160,Large Cap,975.85,0.312,14.44,14.56,965.55,978.5,964.3,975.85,8012021,-0.7,14.22,24.3,15.62,72.37,165.0,Low,2025-12-17 18:15:46,SBIN,SBIN.NS
HINDALCO.NS,Hindalco Industries Limited,Metals,1897176236032,Large Cap,848.8,0.871,25.31,22.78,844.05,851.9,840.1,848.8,3270091,7.31,13.15,33.32,30.84,105.71,60.0,Low,2025-12-17 18:15:47,HINDALCO,HINDALCO.NS
EICHERMOT.NS,Eicher Motors Limited,Automobile,1956987928576,Large Cap,7134.5,0.075,20.33,18.75,7104.0,7176.5,7080.5,7134.5,594263,3.45,3.03,31.56,49.36,99.7,99.0,Low,2025-12-17 18:15:47,EICHERMOT,EICHERMOT.NS
TATACONSUM.NS,Tata Consumer Products Limited,FMCG,1167614148608,Large Cap,1179.8,0.363,17.26,18.86,1170.0,1187.9,1170.0,1179.8,1502195,1.52,4.47,8.41,29.14,50.33,71.0,Low,2025-12-17 18:15:48,TATACONSUM,TATACONSUM.NS
WIPRO.NS,Wipro Limited,IT,2735500165120,Large Cap,261.14,0.58,15.39,18.98,259.0,262.13,258.31,261.14,4921954,6.12,1.64,0.26,-12.17,34.41,424.0,Medium,2025-12-17 18:15:49,WIPRO,WIPRO.NS
COALINDIA.NS,Coal India Limited,Energy,2371109781504,Large Cap,384.75,1.0,13.87,13.5,380.85,385.5,380.8,384.75,3590743,1.5,0.52,5.77,0.48,101.35,694.0,Low,2025-12-17 18:15:49,COALINDIA,COALINDIA.NS
INFY.NS,Infosys Limited,IT,6480943644672,Large Cap,1602.0,0.326,19.24,22.51,1587.2,1606.9,1586.0,1602.0,4816694,3.95,5.58,0.5,-16.7,32.69,283.0,Low,2025-12-17 18:15:50,INFY,INFY.NS
AXISBANK.NS,Axis Bank Limited,Banking,3802222559232,Large Cap,1224.7,0.316,19.17,18.65,1220.6,1236.0,1220.3,1224.7,5147086,-3.6,8.09,0.68,6.5,32.59,8.0,Low,2025-12-17 18:15:51,AXISBANK,AXISBANK.NS
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Pharma,4301767573504,Large Cap,1792.9,0.25,12.2,14.87,1781.0,1797.6,1771.5,1792.9,1910605,0.49,8.75,9.18,-0.01,83.29,90.0,Low,2025-12-17 18:15:51,SUNPHARMA,SUNPHARMA.NS
TCS.NS,Tata Consultancy Services Limited,IT,11642281656320,Large Cap,3217.8,0.325,14.41,17.91,3200.5,3236.9,3200.5,3217.8,1376248,2.23,1.67,-5.35,-24.58,3.96,193.0,Low,2025-12-17 18:15:52,TCS,TCS.NS
BHARTIARTL.NS,Bharti Airtel Limited,Telecom,12839995572224,Large Cap,2108.0,0.106,19.51,17.52,2117.6,2128.0,2096.4,2108.0,6412437,-2.4,8.6,13.25,27.85,156.7,76.0,Low,2025-12-17 18:15:53,BHARTIARTL,BHARTIARTL.NS
TATASTEEL.NS,Tata Steel Limited,Metals,2124454559744,Large Cap,170.34,0.824,22.14,23.32,170.09,171.3,169.66,170.34,11623528,-1.66,-0.98,12.81,17.95,70.03,212.0,Medium,2025-12-17 18:15:53,TATASTEEL,TATASTEEL.NS
GRASIM.NS,Grasim Industries Limited,Cement,1904711827456,Large Cap,2806.6,0.218,22.71,18.73,2785.2,2814.9,2780.0,2806.6,420051,2.26,-2.51,4.59,4.9,66.87,36.0,Low,2025-12-17 18:15:54,GRASIM,GRASIM.NS
HCLTECH.NS,HCL Technologies Limited,IT,4483900768256,Large Cap,1655.0,0.276,20.57,19.55,1651.0,1664.5,1646.3,1655.0,1394782,-0.46,11.68,-1.9,-12.1,59.36,291.0,Low,2025-12-17 18:15:55,HCLTECH,HCLTECH.NS
POWERGRID.NS,Power Grid Corporation of India Limited,Energy,2428387721216,Large Cap,261.1,0.187,13.65,17.07,260.35,262.75,259.3,261.1,10944398,-5.11,-8.17,-6.92,-19.48,65.7,519.0,Low,2025-12-17 18:15:56,POWERGRID,POWERGRID.NS
RELIANCE.NS,Reliance Industries Limited,Energy,20900321689600,Large Cap,1544.4,0.309,12.79,15.06,1550.0,1550.0,1539.3,1544.4,7116136,1.68,9.14,8.18,22.26,37.8,36.0,Low,2025-12-17 18:15:56,RELIANCE,RELIANCE.NS
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,6212648697856,Large Cap,999.6,0.199,30.87,26.37,1000.0,1011.2,995.3,999.6,4695406,-0.6,0.31,11.0,39.53,44.52,44.0,Low,2025-12-17 18:15:57,BAJFINANCE,BAJFINANCE.NS
MARUTI.NS,Maruti Suzuki India Limited,Automobile,5155572940800,Large Cap,16398.0,0.233,14.14,21.28,16389.0,16490.0,16357.0,16398.0,257383,4.0,3.67,29.44,46.98,78.06,83.0,Low,2025-12-17 18:15:58,MARUTI,MARUTI.NS
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,2930684723200,Large Cap,232.91,0.257,12.9,13.31,231.75,233.42,228.61,232.91,5846907,-6.46,1.29,-4.65,-2.84,71.11,786.0,Medium,2025-12-17 18:15:59,ONGC,ONGC.NS
NTPC.NS,NTPC Limited,Energy,3115054268416,Large Cap,321.25,0.234,9.92,13.92,320.0,322.4,319.55,321.25,5041436,-1.64,-3.85,-0.85,-6.54,98.09,346.0,Low,2025-12-17 18:15:59,NTPC,NTPC.NS
TMPV.NS,Tata Motors Passenger Vehicles Limited,Infrastructure,2549786869760,Large Cap,346.35,0.728,,,346.45,350.0,345.4,346.35,7042179,-4.02,-14.66,-14.66,-14.66,-14.66,174.0,Low,2025-12-17 18:16:00,TMPV,TMPV.NS
INDIGO.NS,InterGlobe Aviation Limited,Aviation,1925414387712,Large Cap,4980.5,0.772,34.16,25.58,4999.0,5009.0,4944.5,4980.5,1600529,-13.51,-12.86,-5.35,13.21,109.11,20.0,Medium,2025-12-17 18:16:00,INDIGO,INDIGO.NS
ULTRACEMCO.NS,UltraTech Cement Limited,Cement,3394311815168,Large Cap,11540.0,0.384,14.12,16.17,11505.0,11591.0,11495.0,11540.0,205327,-1.08,-8.6,1.69,-2.76,49.48,67.0,Low,2025-12-17 18:16:01,ULTRACEMCO,ULTRACEMCO.NS
TECHM.NS,Tech Mahindra Limited,IT,1398982049792,Large Cap,1579.4,0.249,18.87,19.17,1578.2,1586.2,1570.3,1579.4,582240,10.15,2.92,-3.5,-8.47,54.24,285.0,Low,2025-12-17 18:16:02,TECHM,TECHM.NS
LT.NS,Larsen & Toubro Limited,Infrastructure,5588159823872,Large Cap,4062.4,0.383,12.37,13.77,4079.0,4079.0,4040.0,4062.4,1087241,1.06,10.21,12.19,5.74,87.04,84.0,Low,2025-12-17 18:16:03,LT,LT.NS
CIPLA.NS,Cipla Limited,Pharma,1209152700416,Large Cap,1496.9,0.097,10.74,18.56,1497.6,1505.3,1491.0,1496.9,1000100,-1.96,-5.15,1.95,4.45,59.25,87.0,Low,2025-12-17 18:16:04,CIPLA,CIPLA.NS
HINDUNILVR.NS,Hindustan Unilever Limited,FMCG,5346836348928,Large Cap,2275.6,0.323,18.93,17.96,2281.2,2286.2,2268.3,2275.6,807713,-6.8,-11.34,1.02,-2.05,-11.5,189.0,Low,2025-12-17 18:16:04,HINDUNILVR,HINDUNILVR.NS
ASIANPAINT.NS,Asian Paints Limited,Chemicals,2670440742912,Large Cap,2785.7,0.329,27.97,22.04,2800.0,2806.5,2772.0,2785.7,636496,-3.73,12.56,23.02,17.21,-11.29,90.0,Low,2025-12-17 18:16:05,ASIANPAINT,ASIANPAINT.NS
